,source,author,title,description,urlToImage,publishedAt,content
49,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Czech Republic asks Germany, Switzerland and Poland for help with COVID patients: health ministry - Reuters","The Czech Republic has asked Germany, Switzerland and Poland for help with COVID patients as the situation in its own hospitals is critical, Prague's Health Ministry said on Friday.",https://static.reuters.com/resources/r/?m=02&d=20210305&t=2&i=1553865252&r=LYNXMPEH240SU&w=800,2021-03-05T13:08:00Z,"By Reuters Staff
FILE PHOTO: Medical staff members transport a patient infected with the coronavirus disease (COVID-19) after transfer from Zlin region to Prague, Czech Republic, November 6, 2020. R… [+404 chars]"
50,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany has so far had no reason to stop vaccine shipments: health minister - Reuters,"German Health Minister Jens Spahn said on Friday that drug manufacturers must honour vaccine supply contracts to Europe, but said Germany had not yet had any reason to stop shipments of shots produced domestically to other countries.",https://static.reuters.com/resources/r/?m=02&d=20210305&t=2&i=1553844938&r=LYNXMPEH240H4&w=800,2021-03-05T09:43:00Z,"By Reuters Staff
German Health Minister Jens Spahn attends a news conference, amid the spread of the coronavirus disease (COVID-19), in Berlin, Germany, March 5, 2021. REUTERS/Annegret Hilse/Pool
B… [+753 chars]"
51,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Iran's only female Olympic medallist to compete under white flag in Tokyo - Reuters,Iranian female Olympic medal winner Kimia Alizadeh has been granted refugee status in Germany and aims to compete in the Olympic Refugee Team under a white flag in Tokyo this summer.,https://static.reuters.com/resources/r/?m=02&d=20210302&t=2&i=1553478554&r=LYNXMPEH21164&w=800,2021-03-02T16:34:00Z,"By Reuters Staff
FILE PHOTO: Taekwondo - Iran's only female Olympic medallist Kimia Alizadeh holds a press conference - Musado Training Center, Lunen, Germany - January 24, 2020 Kimia Alizadeh with … [+1346 chars]"
52,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany rejects EU executive call to ease COVID border curbs: letter - Reuters Canada,"Germany told the European Union it would uphold its latest border restrictions imposed to curb the spread of new coronavirus variants, snubbing calls from the bloc's executive European Commission, Austria and the Czech Republic.",https://static.reuters.com/resources/r/?m=02&d=20210304&t=2&i=1553725536&r=LYNXMPEH230J0&w=800,2021-03-04T10:03:00Z,"By Reuters Staff
FILE PHOTO: German police officers check vehicles at the border with Czech Republic, following German restrictions to cross from the Czech Republic into its territory due to the cor… [+785 chars]"
53,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"The COVID/Brexit cocktail: UK lost market share in U.S., Germany and China - report - Reuters","The United Kingdom lost market share in the United States, Germany and China during the COVID-19 pandemic due to global trade chaos, Brexit and poor productivity, according to new research published on Monday.",https://static.reuters.com/resources/r/?m=02&d=20210308&t=2&i=1554066740&r=LYNXMPEH27008&w=800,2021-03-08T00:06:00Z,"By Reuters Staff
LONDON (Reuters) - The United Kingdom lost market share in the United States, Germany and China during the COVID-19 pandemic due to global trade chaos, Brexit and poor productivity,… [+1926 chars]"
54,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Mother of two wins Miss Germany title in revamped contest - Reuters,"A 33-year-old mother of two was crowned Miss Germany on Saturday in a revamped contest which organisers say focused on a woman's conviction and personality rather than her looks, ditching the classic swimsuit walk.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-02-28T13:44:00Z,"By Reuters Staff
FRANKFURT, Feb 28 (Reuters) - A 33-year-old mother of two was crowned Miss Germany on Saturday in a revamped contest which organisers say focused on a womans conviction and personal… [+937 chars]"
55,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany rejects EU executive call to ease COVID border curbs: letter - Reuters,"Germany told the European Union it would uphold its latest border restrictions imposed to curb the spread of new coronavirus variants, snubbing calls from the bloc's executive European Commission, Austria and the Czech Republic.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-04T09:44:00Z,"By Reuters Staff
BRUSSELS, March 4 (Reuters) - Germany told the European Union it would uphold its latest border restrictions imposed to curb the spread of new coronavirus variants, snubbing calls f… [+563 chars]"
56,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Kremlin calls on France and Germany to ensure east Ukraine tensions do not cross rubicon - Reuters,"The Kremlin on Thursday called on France and Germany to use their influence with the Ukrainian government to make sure that events in eastern Ukraine, where tensions have been rising, did not cross a rubicon.",https://static.reuters.com/resources/r/?m=02&d=20210304&t=2&i=1553727860&r=LYNXMPEH230KF&w=800,2021-03-04T10:23:00Z,"By Reuters Staff
FILE PHOTO: A Ukrainian service member walks along fighting positions on the contact line with Russian-backed separatist rebels near the town of Avdiivka in Donetsk Region, Ukraine … [+712 chars]"
57,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,UPDATE 1-France's Dassault eyes Plan B if European fighter talks fail - Reuters,"The chief executive of French planemaker Dassault Aviation raised the prospect of an alternative plan on Friday if talks between France, Germany and Spain on a joint fighter plane break down, but said he still believes in the project.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-05T11:43:00Z,"By Reuters Staff
(Adds details)
PARIS, March 5 (Reuters) - The chief executive of French planemaker Dassault Aviation raised the prospect of an alternative plan on Friday if talks between France, G… [+2025 chars]"
58,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany likely to suspend debt brake also next year - Scholz - Reuters,"Germany is likely to suspend constitutionally enshrined limits on new borrowing again next year to finance stimulus measures to help the economy recover from the coronavirus pandemic, Finance Minister Olaf Scholz said on Monday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-01T15:04:00Z,"By Reuters Staff
BERLIN, March 1 (Reuters) - Germany is likely to suspend constitutionally enshrined limits on new borrowing again next year to finance stimulus measures to help the economy recover … [+566 chars]"
59,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Europeans push IAEA Iran resolution despite warnings by Russia, Tehran - Reuters","Britain, France and Germany are pressing ahead with a U.S.-backed plan for a resolution by the U.N. nuclear watchdog's board criticising Iran for curbing cooperation with the agency, despite Russian and Iranian warnings of serious consequences.",https://static.reuters.com/resources/r/?m=02&d=20210301&t=2&i=1553307871&r=LYNXNPEH20193&w=800,2021-03-01T11:18:00Z,"By Reuters Staff
VIENNA (Reuters) - Britain, France and Germany are pressing ahead with a U.S.-backed plan for a resolution by the U.N. nuclear watchdogs board criticising Iran for curbing cooperati… [+2598 chars]"
60,"{'id': 'reuters', 'name': 'Reuters'}","John Irish, Raya Jalabi",Media watchdog seeks German investigation of Saudi crown prince over Khashoggi death - Reuters,Global media watchdog Reporters Without Borders (RSF) has accused Saudi Arabia's Crown Prince Mohammed bin Salman and several top officials of committing crimes against humanity in a criminal complaint filed in Germany.,https://static.reuters.com/resources/r/?m=02&d=20210302&t=2&i=1553452375&r=LYNXMPEH210SM&w=800,2021-03-02T12:51:00Z,PARIS (Reuters) - Global media watchdog Reporters Without Borders (RSF) has accused Saudi Arabias Crown Prince Mohammed bin Salman and several top officials of committing crimes against humanity in a… [+2372 chars]
61,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Western powers scrap plan for IAEA rebuke of Iran, diplomats say - Reuters Canada","Britain, France and Germany have scrapped a U.S.-backed plan for the International Atomic Energy Agency's board to pass a resolution this week criticising Iran for scaling back cooperation with it, diplomats said on Thursday.",https://static.reuters.com/resources/r/?m=02&d=20210304&t=2&i=1553725535&r=LYNXMPEH230J2&w=800,2021-03-04T10:03:00Z,"By Reuters Staff
FILE PHOTO: A view of the Natanz uranium enrichment plant 250 km (155 miles) south of the Iranian capital Tehran, March 30, 2005. REUTERS/Raheb Homavandi/File Photo
VIENNA (Reuters… [+489 chars]"
62,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Number of Germany's electric vehicle charge points rise 10% since December - Reuters,"The number of charging points for electric vehicles in Germany has increased by more than 10% in the past three months to reach 39,538, energy industry association BDEW said on Wednesday.",https://static.reuters.com/resources/r/?m=02&d=20210303&t=2&i=1553572887&r=LYNXMPEH220II&w=800,2021-03-03T10:00:00Z,"By Reuters Staff
FILE PHOTO: A parking sign for electric vehicles is pictured in Gruenheide, Germany, November 13, 2019. REUTERS/Hannibal Hanschke
FRANKFURT (Reuters) - The number of charging point… [+1435 chars]"
63,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"European stocks rally, FTSE jumps 1% ahead of budget - Reuters Canada","Hopes of a strong global economic rebound lifted European stocks for a third straight session on Wednesday as Germany looked set to relax coronavirus curbs, while investors awaited details of UK's new budget measures to boost the economy.",https://static.reuters.com/resources/r/?m=02&d=20210303&t=2&i=1553561728&r=LYNXMPEH220CU&w=800,2021-03-03T08:28:00Z,"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 2, 2021. REUTERS/Staff
(Reuters) - Hopes of a strong global econom… [+1073 chars]"
64,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,UPDATE 1-Germany likely to suspend debt brake also next year -Scholz - Reuters,"Germany is likely to suspend constitutionally enshrined limits on new borrowing again next year to finance more rescue and stimulus measures to help the economy recover from the COVID-19 pandemic, Finance Minister Olaf Scholz said on Monday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-01T15:49:00Z,"By Reuters Staff
(Adds Scholz, background)
BERLIN, March 1 (Reuters) - Germany is likely to suspend constitutionally enshrined limits on new borrowing again next year to finance more rescue and sti… [+1740 chars]"
65,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,B117 coronavirus variant might soon become dominant in Germany: RKI head - Reuters,"A more contagious variant of the coronavirus first detected in Britain might soon become the predominant strain in Germany, making it hard to stop its spread, the head of the Robert Koch Institute said on Friday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-05T08:38:00Z,"By Reuters Staff
BERLIN (Reuters) - A more contagious variant of the coronavirus first detected in Britain might soon become the predominant strain in Germany, making it hard to stop its spread, the… [+419 chars]"
66,"{'id': 'reuters', 'name': 'Reuters'}",Gabriela Baczynska,"Germany is main target of Russian disinformation, EU says - Reuters Canada","Germany is the top target of Russian disinformation campaigns in the European Union, a report said on Tuesday, as ties between Moscow and the West hit new lows over the poisoning and jailing of Kremlin critic Alexei Navalny.",https://static.reuters.com/resources/r/?m=02&d=20210309&t=2&i=1554256553&r=LYNXMPEH280OL&w=800,2021-03-09T12:03:00Z,"BRUSSELS (Reuters) - Germany is the top target of Russian disinformation campaigns in the European Union, a report said on Tuesday, as ties between Moscow and the West hit new lows over the poisoning… [+2856 chars]"
67,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Apple to set up silicon design centre in Germany, invest $1.2 billion - Reuters","Apple said on Wednesday it would establish a European silicon design centre in Munich, Germany, and invest more than 1 billion euros ($1.2 billion) over the next three years in expanding its team there and in research and development.",https://static.reuters.com/resources/r/?m=02&d=20210310&t=2&i=1554379042&r=LYNXMPEH290OG&w=800,2021-03-10T11:11:00Z,"By Reuters Staff
FILE PHOTO: The Apple Inc logo is seen hanging at the entrance to the Apple store on 5th Avenue in Manhattan, New York, U.S., October 16, 2019. REUTERS/Mike Segar/File Photo
BERLIN… [+920 chars]"
68,"{'id': 'reuters', 'name': 'Reuters'}","Christoph Steitz, Vera Eckert, Tom Käckenhoff",Factbox: How Fukushima helped to transform Germany's power sector - Reuters,"The Fukushima nuclear disaster 10 years ago has had a profound impact on the global power sector, but no other country abroad saw bigger changes to its energy laws, infrastructure and utility landscape than Germany.",https://static.reuters.com/resources/r/?m=02&d=20210310&t=2&i=1554380735&r=LYNXMPEH290PQ&w=800,2021-03-10T11:33:00Z,"FRANKFURT (Reuters) - The Fukushima nuclear disaster 10 years ago has had a profound impact on the global power sector, but no other country abroad saw bigger changes to its energy laws, infrastructu… [+2569 chars]"
69,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany's confirmed coronavirus cases rise by 17,482 - RKI - Reuters","The number of confirmed coronavirus cases in Germany increased by 17,482 to 2,629,750, data from the Robert Koch Institute (RKI) for infectious diseases showed on Friday. The reported death toll rose by 226 to 74,358, the tally showed.",https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555436136&r=LYNXMPEH2I05I&w=800,2021-03-19T04:27:00Z,"By Reuters Staff
FILE PHOTO: People queue outside a COVID-19 rapid test centre to get a day pass to visit shops and cultural institutions as the spread of the coronavirus disease (COVID-19) continue… [+327 chars]"
70,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,'Very exciting': German tourists land in Mallorca as restrictions ease - Reuters,"Excited German tourists in face masks spilled out of Mallorca airport on Friday, among the first to arrive at the popular holiday destination after Germany last week lifted quarantine requirements for travellers returning from the Balearic Islands.",https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555504934&r=LYNXMPEH2I111&w=800,2021-03-19T16:19:00Z,"By Reuters Staff
MALLORCA (Reuters) - Excited German tourists in face masks spilled out of Mallorca airport on Friday, among the first to arrive at the popular holiday destination after Germany last… [+1899 chars]"
71,"{'id': 'reuters', 'name': 'Reuters'}","Andreas Rinke, Robin Emmott, Timothy Gardner",Analysis: Germany bets U.S. will make the best of 'bad deal' Nord Stream gas link - Reuters,"Germany is betting the U.S. administration will take a pragmatic approach to the Nord Stream 2 project to ship Russian gas to Europe and is pushing for the pipeline's completion in defiance of U.S. opposition, officials and diplomats said.",https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555029318&r=LYNXMPEH2F09P&w=800,2021-03-16T06:03:00Z,BERLIN/WASHINGTON (Reuters) - Germany is betting the U.S. administration will take a pragmatic approach to the Nord Stream 2 project to ship Russian gas to Europe and is pushing for the pipelines com… [+5464 chars]
72,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Suspension of AstraZeneca shots is 'political decision': Italy's medicines regulator head - Reuters,"The decision by Germany, France and Italy to suspend AstraZeneca's COVID-19 shots after several countries reported possible serious side-effects is a ""political one"", the director general of Italy's medicines authority AIFA said on Tuesday.",https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555032736&r=LYNXMPEH2F0BI&w=800,2021-03-16T06:46:00Z,"By Reuters Staff
Vials labelled with broken sticker ""AstraZeneca COVID-19 Coronavirus Vaccine"" and a broken syringe are seen in front of a displayed EU flag in this illustration taken March 15, 2021… [+948 chars]"
73,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,EU plans to make battery cells for 7 million electric cars by 2025 - Handelsblatt - Reuters,"The European Union aims to produce battery cells for at least 7 million electric cars a year by 2025, the economy ministers of Germany and France and a top EU official wrote in an article for the Handelsblatt business daily.",https://static.reuters.com/resources/r/?m=02&d=20210311&t=2&i=1554588168&r=LYNXMPEH2A1QY&w=800,2021-03-11T20:43:00Z,"By Reuters Staff
FILE PHOTO: European Union flags flutter outside the EU Commission headquarters in Brussels, Belgium, in this file picture taken October 28, 2015. REUTERS/Francois Lenoir
BERLIN (R… [+976 chars]"
74,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany removes regions in Spain, Portugal from virus risk list - Reuters","Germany is removing regions in Spain, including the tourist island of Mallorca, and in Portugal from its list of coronavirus risk areas as of Sunday, March 14, the Robert Koch Institute (RKI) for infectious diseases said on Friday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-12T12:21:00Z,"By Reuters Staff
BERLIN, March 12 (Reuters) - Germany is removing regions in Spain, including the tourist island of Mallorca, and in Portugal from its list of coronavirus risk areas as of Sunday, Ma… [+509 chars]"
75,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,EU hopes 'green passes' can revive travel demand - Reuters,"The EU has set out proposals for a 'digital green certificate' providing proof of vaccination, and travel firms in Germany and elsewhere are banking on the new move to revive demand.",https://ajo.prod.reuters.tv/api/v2/img/60520efae4b0653eea184b01-1615990522505?location=LANDSCAPE,2021-03-17T14:33:51Z,"Posted 
The EU has set out proposals for a 'digital green certificate' providing proof of vaccination, and travel firms in Germany and elsewhere are banking on the new move to revive demand."
76,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany to spend additional 5.8 bln euros on coronavirus tests, vaccinations - document - Reuters","Germany is planning additional spending of 5.8 billion euros for coronavirus tests, vaccinations at family doctors and hospital emergency aid as Europe's most populous country is failing to contain a third wave of infections, a document showed on Monday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-22T12:06:00Z,"By Reuters Staff
BERLIN, March 22 (Reuters) - Germany is planning additional spending of 5.8 billion euros for coronavirus tests, vaccinations at family doctors and hospital emergency aid as Europes… [+682 chars]"
77,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany expects first delivery of J&J COVID-19 shot in mid-April - Reuters,"Germany is due to receive the first small delivery of Johnson & Johnson's single dose COVID-19 vaccine in mid-April, Health Minister Jens Spahn said on Saturday, giving the country a further shot to help speed up its sluggish rollout.",https://static.reuters.com/resources/r/?m=02&d=20210327&t=2&i=1556437659&r=LYNXMPEH2Q086&w=800,2021-03-27T14:38:00Z,"By Reuters Staff
FILE PHOTO: Vials labelled ""COVID-19 Coronavirus Vaccine"" and sryinge are seen in front of displayed Johnson&amp;Johnson logo in this illustration taken, February 9, 2021. REUTERS/D… [+1110 chars]"
78,"{'id': 'reuters', 'name': 'Reuters'}",Caroline Copley,"Germany must suppress virus now or risk losing control, Merkel aide says - Reuters","Germany must bring down coronavirus infections in the next few weeks or risk new virus mutations that are resistant to vaccines, and should impose night-time curfews in regions with high caseloads, said a top aide to Chancellor Angela Merkel.",https://static.reuters.com/resources/r/?m=02&d=20210327&t=2&i=1556462679&r=LYNXMPEH2Q0FG&w=800,2021-03-27T23:17:00Z,"FILE PHOTO: Medical personnel wait outside a COVID-19 rapid test centre, where day passes are issued to allow people visits to shops and cultural institutions, as the spread of the coronavirus diseas… [+1958 chars]"
79,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany agrees to more wild boar hunting to combat swine fever - Reuters UK,"The governments of Germany, Poland and the Czech Republic have agreed that intensified hunting of wild boar is needed to combat an outbreak of African swine fever (ASF) among wild animals, Germany’s agriculture ministry said on Monday.",https://static.reuters.com/resources/r/?m=02&d=20210322&t=2&i=1555736661&r=LYNXMPEH2L0XH&w=800,2021-03-22T11:30:00Z,"By Reuters Staff
HAMBURG (Reuters) - The governments of Germany, Poland and the Czech Republic have agreed that intensified hunting of wild boar is needed to combat an outbreak of African swine feve… [+1888 chars]"
80,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Bavaria's Soeder says we are in most dangerous phase of pandemic - Reuters,"Germany is likely living through the most dangerous phase of the COVID-19 pandemic as new coronavirus variants spread faster and affect more people than just the elderly, Bavarian premier Markus Soeder said early on Tuesday.",https://static.reuters.com/resources/r/?m=02&d=20210323&t=2&i=1555828805&r=LYNXMPEH2M02X&w=800,2021-03-23T02:10:00Z,"By Reuters Staff
FILE PHOTO: Bavarian State Premier Markus Soeder attends a cabinet meeting in Munich, Germany, March 4, 2021, one day after Chancellor Merkel met with state leaders to discuss lockd… [+566 chars]"
81,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Volkswagen to cut up to 5,000 jobs, Handelsblatt newspaper reports - Reuters","Carmaker Volkswagen plans to cut up to 5,000 jobs in Germany by offering early or partial retirement to older employees in a move that could cost 500 million euros ($598 million), the Handelsblatt newspaper reported on Sunday.",https://static.reuters.com/resources/r/?m=02&d=20210314&t=2&i=1554842985&r=LYNXMPEH2D09W&w=800,2021-03-14T14:15:32Z,"By Reuters Staff
FILE PHOTO: A Volkswagen logo is seen at a construction completion event of SAIC Volkswagen MEB electric vehicle plant in Shanghai, China November 8, 2019. REUTERS/Aly Song
BERLIN … [+1112 chars]"
82,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Police use water cannon as German lockdown protest turns violent - Reuters.com,"Police deployed water cannon and pepper spray after a gathering of some 20,000 protesters against lockdown and other coronavirus rules in central Germany turned violent, with some demonstrators throwing bottles at police.",https://static.reuters.com/resources/r/?m=02&d=20210320&t=2&i=1555598157&r=LYNXMPEH2J0DR&w=800,2021-03-20T19:05:00Z,"By Reuters Staff
KASSEL, Germany (Reuters) - Police deployed water cannon and pepper spray after a gathering of some 20,000 protesters against lockdown and other coronavirus rules in central Germany… [+1240 chars]"
83,"{'id': 'reuters', 'name': 'Reuters'}",Andreas Rinke,"Up to 60,000 computer systems exposed in Germany to Microsoft flaw - BSI - Reuters","As many as 60,000 computer systems in Germany were exposed to a flaw that allows unauthorized users to access systems in Microsoft Corp's email software, the head of its cybersecurity watchdog said on Wednesday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-10T16:41:00Z,"BERLIN, March 10 (Reuters) - As many as 60,000 computer systems in Germany were exposed to a flaw that allows unauthorized users to access systems in Microsoft Corps email software, the head of its c… [+1930 chars]"
84,"{'id': 'reuters', 'name': 'Reuters'}","Inti Landauro, Joan Faus",Spain says unaware of deal to produce Russian COVID-19 vaccine - Reuters,"The Spanish government is unaware of any contract to domestically manufacture Russia's Sputnik V coronavirus vaccine, it said on Wednesday, after Moscow's RDIF sovereign wealth fund said it had struck deals in Spain, Italy, France and Germany.",https://static.reuters.com/resources/r/?m=02&d=20210310&t=2&i=1554411823&r=LYNXMPEH2916D&w=800,2021-03-10T15:36:00Z,"MADRID (Reuters) - The Spanish government is unaware of any contract to domestically manufacture Russias Sputnik V coronavirus vaccine, it said on Wednesday, after Moscows RDIF sovereign wealth fund … [+2096 chars]"
85,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany extends tax deferral for pandemic-hit firms by three months - Reuters,"Germany will extend a tax deferral scheme designed to help firms hit by the impact of the COVID-19 pandemic by a further three months, Finance Minister Olaf Scholz said on Tuesday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-16T13:59:00Z,"By Reuters Staff
BERLIN, March 16 (Reuters) - Germany will extend a tax deferral scheme designed to help firms hit by the impact of the COVID-19 pandemic by a further three months, Finance Minister … [+930 chars]"
86,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,German investor morale gains as broad-based recovery expected - Reuters,"Investor sentiment in Germany increased by more than expected in March, the ZEW economic research institute said on Tuesday, buoying the outlook for a broad-based recovery in Europe's largest economy.",https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555057139&r=LYNXMPEH2F0QN&w=800,2021-03-16T10:34:00Z,"By Reuters Staff
BERLIN (Reuters) - Investor sentiment in Germany increased by more than expected in March, the ZEW economic research institute said on Tuesday, buoying the outlook for a broad-based… [+1996 chars]"
87,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany extends liquidity aid for pandemic companies until year-end - Reuters,"Germany has extended its liquidity aid program for pandemic-hit companies until the end of this year, the finance and economy ministries said on Thursday as Europe's largest economy is struggling to contain a third wave of coronavirus infections.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-25T08:43:00Z,"By Reuters Staff
BERLIN (Reuters) - Germany has extended its liquidity aid program for pandemic-hit companies until the end of this year, the finance and economy ministries said on Thursday as Europ… [+473 chars]"
88,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"JGBs rise on safe-harbour flows, strong auction demand - Reuters",Japanese government bond futures and prices on cash bonds rose on Wednesday as concerns over restrictions on economic activity in France and Germany increased the appeal of holding safe-harbour assets.,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-24T05:20:00Z,"By Reuters Staff
TOKYO, March 24 (Reuters) - Japanese government bond futures and prices on cash bonds rose on Wednesday as concerns over restrictions on economic activity in France and Germany incr… [+946 chars]"
89,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"German COVID-19 infections could rise to 100,000 per day-RKI chief - Reuters","There could be as many as 100,000 new coronavirus infections a day in Germany if the spread of the coronavirus is not curbed, the president of the Robert Koch Institute for infectious diseases said on Friday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-26T10:41:54Z,"By Reuters Staff
BERLIN, March 26 (Reuters) - There could be as many as 100,000 new coronavirus infections a day in Germany if the spread of the coronavirus is not curbed, the president of the Rober… [+199 chars]"
90,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,ECB seeks to allay German misgivings about digital euro - Reuters,"The European Central Bank sought on Thursday to allay misgivings in Germany about the launch of a digital euro, saying this form of electronic cash wouldn't be used to penalise savers or upend banks.",https://static.reuters.com/resources/r/?m=02&d=20210325&t=2&i=1556157762&r=LYNXMPEH2O0PD&w=800,2021-03-25T09:42:00Z,"By Reuters Staff
FRANKFURT (Reuters) - The European Central Bank sought on Thursday to allay misgivings in Germany about the launch of a digital euro, saying this form of electronic cash wouldnt be … [+2475 chars]"
91,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Microsoft's advanced cybersecurity tech is now available in dozens of countries,"With upcoming national elections in five European countries, Microsoft is making some of the more advanced features of its AccountGuard service available to additional groups and individuals at no additional cost. AccountGuard is a program Microsoft offers to…",https://s.yimg.com/uu/api/res/1.2/oqYWJNfyw3SEtwwA8i8xvw--~B/aD0zODQwO3c9NTc2MDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-images/2019-11/9b7787e0-ff1c-11e9-bf37-096521a84299.cf.jpg,2021-03-10T20:25:45Z,"With upcoming national elections in five European countries, Microsoft is making some of the more advanced features of its AccountGuard service available to additional groups and individuals at no ad… [+1498 chars]"
92,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,German officials back AstraZeneca vaccine after clot concerns - Reuters,Top German public health officials said AstraZeneca's COVID-19 vaccine was safe and Germany would continue to use it on Friday after several European countries halted its distribution amid safety concerns.,https://static.reuters.com/resources/r/?m=02&d=20210312&t=2&i=1554665529&r=LYNXMPEH2B0QS&w=800,2021-03-12T11:13:00Z,"By Reuters Staff
BERLIN (Reuters) - Top German public health officials said AstraZenecas COVID-19 vaccine was safe and Germany would continue to use it on Friday after several European countries hal… [+1700 chars]"
93,"{'id': 'reuters', 'name': 'Reuters'}","Thomas Escritt, Stephanie Nebehay","Germany, Italy, France to halt AstraZeneca shots, further hitting EU vaccination campaign - Reuters","Germany, France and Italy said on Monday they would stop administering the AstraZeneca COVID-19 vaccine after several countries reported possible serious side-effects, throwing Europe's already struggling vaccination campaign into disarray.",https://static.reuters.com/resources/r/?m=02&d=20210315&t=2&i=1554958912&r=LYNXMPEH2E19N&w=800,2021-03-15T16:10:00Z,"BERLIN/GENEVA (Reuters) - Germany, France and Italy said on Monday they would stop administering the AstraZeneca COVID-19 vaccine after several countries reported possible serious side-effects, throw… [+5530 chars]"
94,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,President Biden weighing new sanctions to block Russian gas pipeline: BBG - Reuters,"President Joe Biden's administration is weighing additional sanctions to block construction of the nearly completed Nord Stream 2 pipeline from Russia to Germany, potentially including the project's parent company Nord Stream 2 AG, Bloomberg News https://www.…",https://static.reuters.com/resources/r/?m=02&d=20210318&t=2&i=1555392800&r=LYNXMPEH2H1HU&w=800,2021-03-18T19:43:00Z,"By Reuters Staff
FILE PHOTO: The logo of the Nord Stream 2 gas pipeline project is seen on a pipe at Chelyabinsk pipe rolling plant owned by ChelPipe Group in Chelyabinsk, Russia, February 26, 2020.… [+1373 chars]"
